U-235(n,g) ENDFB-8.0
Energy(eV) XS(b)
3.68930 29.5888
3.69169 28.3711
3.69430 27.1002
3.69691 25.8892
3.69931 24.8310
3.70170 23.8224
3.70409 22.8613
3.70649 21.9473
3.70888 21.0781
3.71127 20.2529
3.71367 19.4695
3.71606 18.7261
3.71845 18.0207
3.72085 17.3521
3.72324 16.7177
3.72563 16.1165
3.72803 15.5460
3.73042 15.0051
3.73281 14.4919
3.73521 14.0048
3.73869 13.3396
3.74217 12.7224
3.74565 12.1488
3.74913 11.6152
3.75261 11.1181
3.75610 10.6548
3.75958 10.2223
3.76306 9.81807
3.76567 9.53208
3.76828 9.25985
3.77089 9.00057
3.77350 8.75357
3.77659 8.47611
3.77968 8.21364
3.78276 7.96519
3.78585 7.72991
3.78868 7.52493
3.79151 7.32973
3.79717 6.96616
3.80283 6.63517
3.80849 6.33329
3.81416 6.05729
3.81982 5.80457
3.82548 5.57260
3.83114 5.35934
3.83577 5.19738
3.84040 5.04576
3.84503 4.90358
3.84966 4.77014
3.85893 4.52670
3.86819 4.31070
3.87745 4.11819
3.88671 3.94595
3.89598 3.79130
3.90524 3.65199
3.91347 3.53949
3.92171 3.43645
3.92994 3.34188
3.93817 3.25493
3.95464 3.10086
3.97111 2.96922
3.98346 2.88285
3.99581 2.80563
4.00816 2.73647
4.02051 2.67448
4.03286 2.61888
4.04521 2.56900
4.06991 2.48425
4.09461 2.41662
4.11931 2.36354
4.14401 2.32299
4.16871 2.29335
4.20165 2.26899
4.23458 2.26097
4.26340 2.26705
4.29222 2.28556
4.32104 2.31713
4.34985 2.36324
4.37867 2.42640
4.39308 2.46535
4.40749 2.50985
4.42190 2.56053
4.43631 2.61811
4.45072 2.68350
4.46512 2.75776
4.48159 2.85518
4.49806 2.96830
4.51452 3.10015
4.53099 3.25470
4.53923 3.34206
4.55055 3.47499
4.56187 3.62498
4.57319 3.79499
4.58451 3.98864
4.59583 4.21046
4.60149 4.33367
4.60715 4.46615
4.61281 4.60890
4.61847 4.76297
4.62413 4.92966
4.62979 5.11037
4.63803 5.40179
4.64626 5.73264
4.65038 5.91518
4.65450 6.11063
4.65861 6.32028
4.66273 6.54555
4.66685 6.78822
4.67096 7.05015
