U-238(n,g) ENDFB-8.0
Energy(eV) XS(b)
19.3862 3.78278
19.3957 3.89730
19.4052 4.02645
19.4147 4.17041
19.4242 4.32912
19.4336 4.50094
19.4476 4.77326
19.4616 5.05660
19.4756 5.33473
19.4896 5.58811
19.4981 5.72201
19.5066 5.83613
19.5136 5.91334
19.5150 5.92706
19.5207 5.97483
19.5249 6.00338
19.5291 6.02575
19.5359 6.04853
19.5426 6.05634
19.5512 6.04611
19.5598 6.01598
19.5770 5.91165
19.5942 5.77847
19.6087 5.66939
19.6232 5.58085
19.6377 5.52341
19.6522 5.50197
19.6667 5.51649
19.6812 5.56367
19.6956 5.63859
19.7101 5.73601
19.7246 5.85134
19.7391 5.98073
19.7681 6.27226
19.7971 6.59921
19.8261 6.95861
19.8478 7.25026
19.8696 7.56213
19.8913 7.89583
19.9130 8.25322
19.9348 8.63648
19.9565 9.04805
19.9783 9.49072
20.0000 9.96766
20.0209 10.4616
20.0418 10.9939
20.0627 11.5692
20.0835 12.1918
20.1044 12.8677
20.1149 13.2274
20.1253 13.6027
20.1358 13.9950
20.1462 14.4047
20.1566 14.8330
20.1671 15.2813
20.1738 15.5796
20.1805 15.8865
20.1871 16.2028
20.1938 16.5288
20.2005 16.8656
20.2072 17.2125
20.2139 17.5705
20.2205 17.9400
20.2251 18.2015
20.2297 18.4683
20.2343 18.7417
20.2389 19.0208
20.2435 19.3070
20.2481 19.5991
20.2527 19.8988
20.2573 20.2050
20.2619 20.5191
20.2665 20.8401
20.2711 21.1695
20.2757 21.5063
20.2811 21.9156
20.2865 22.3369
20.2920 22.7707
20.2974 23.2177
20.3005 23.4824
20.3037 23.7509
20.3068 24.0241
20.3099 24.3022
20.3131 24.5862
20.3162 24.8744
20.3193 25.1679
20.3225 25.4667
20.3271 25.9158
20.3317 26.3763
20.3362 26.8495
20.3408 27.3360
20.3454 27.8372
20.3500 28.3517
20.3546 28.8821
20.3592 29.4268
20.3638 29.9888
20.3684 30.5662
20.3730 31.1623
20.3776 31.7753
20.3822 32.4085
20.3868 33.0600
20.3914 33.7335
20.3960 34.4270
